category,category_th,year_be,year_ce,period_label,period_display,value,chg_prev_pct,chg_yoy_pct,complete,provisional,month_count,months,quarter
overall,ดัชนีรวม,2554,2011,Q1,Q1 2554,118.58,,,True,False,3,"01,02,03",1
overall,ดัชนีรวม,2554,2011,Q2,Q2 2554,122.1133,2.98,,True,False,3,"04,05,06",2
overall,ดัชนีรวม,2554,2011,Q3,Q3 2554,120.9367,-0.96,,True,False,3,"07,08,09",3
overall,ดัชนีรวม,2554,2011,Q4,Q4 2554,121.9033,0.8,,True,False,3,"10,11,12",4
overall,ดัชนีรวม,2555,2012,Q1,Q1 2555,135.4133,11.08,14.2,True,False,3,"01,02,03",1
overall,ดัชนีรวม,2555,2012,Q2,Q2 2555,129.5167,-4.35,6.06,True,False,3,"04,05,06",2
overall,ดัชนีรวม,2555,2012,Q3,Q3 2555,120.8733,-6.67,-0.05,True,False,3,"07,08,09",3
overall,ดัชนีรวม,2555,2012,Q4,Q4 2555,116.9767,-3.22,-4.04,True,False,3,"10,11,12",4
overall,ดัชนีรวม,2556,2013,Q1,Q1 2556,125.0767,6.92,-7.63,True,False,3,"01,02,03",1
overall,ดัชนีรวม,2556,2013,Q2,Q2 2556,114.73,-8.27,-11.42,True,False,3,"04,05,06",2
overall,ดัชนีรวม,2556,2013,Q3,Q3 2556,103.7167,-9.6,-14.19,True,False,3,"07,08,09",3
overall,ดัชนีรวม,2556,2013,Q4,Q4 2556,94.77,-8.63,-18.98,True,False,3,"10,11,12",4
overall,ดัชนีรวม,2557,2014,Q1,Q1 2557,102.44,8.09,-18.1,True,False,3,"01,02,03",1
overall,ดัชนีรวม,2557,2014,Q2,Q2 2557,96.8167,-5.49,-15.61,True,False,3,"04,05,06",2
overall,ดัชนีรวม,2557,2014,Q3,Q3 2557,92.6267,-4.33,-10.69,True,False,3,"07,08,09",3
overall,ดัชนีรวม,2557,2014,Q4,Q4 2557,90.7767,-2.0,-4.21,True,False,3,"10,11,12",4
overall,ดัชนีรวม,2558,2015,Q1,Q1 2558,103.6467,14.18,1.18,True,False,3,"01,02,03",1
overall,ดัชนีรวม,2558,2015,Q2,Q2 2558,102.2967,-1.3,5.66,True,False,3,"04,05,06",2
overall,ดัชนีรวม,2558,2015,Q3,Q3 2558,96.03,-6.13,3.67,True,False,3,"07,08,09",3
overall,ดัชนีรวม,2558,2015,Q4,Q4 2558,98.01,2.06,7.97,True,False,3,"10,11,12",4
overall,ดัชนีรวม,2559,2016,Q1,Q1 2559,108.62,10.83,4.8,True,False,3,"01,02,03",1
overall,ดัชนีรวม,2559,2016,Q2,Q2 2559,105.3067,-3.05,2.94,True,False,3,"04,05,06",2
overall,ดัชนีรวม,2559,2016,Q3,Q3 2559,99.8933,-5.14,4.02,True,False,3,"07,08,09",3
overall,ดัชนีรวม,2559,2016,Q4,Q4 2559,96.91,-2.99,-1.12,True,False,3,"10,11,12",4
