category,category_th,year_be,year_ce,period_label,period_display,value,chg_prev_pct,chg_yoy_pct,complete,provisional,month_count,months
overall,ดัชนีรวม,2554,2011,2554,2554,120.8833,,,True,False,12,"01,02,03,04,05,06,07,08,09,10,11,12"
overall,ดัชนีรวม,2555,2012,2555,2555,125.695,3.98,3.98,True,False,12,"01,02,03,04,05,06,07,08,09,10,11,12"
overall,ดัชนีรวม,2556,2013,2556,2556,109.5733,-12.83,-12.83,True,False,12,"01,02,03,04,05,06,07,08,09,10,11,12"
overall,ดัชนีรวม,2557,2014,2557,2557,95.665,-12.69,-12.69,True,False,12,"01,02,03,04,05,06,07,08,09,10,11,12"
overall,ดัชนีรวม,2558,2015,2558,2558,99.9958,4.53,4.53,True,False,12,"01,02,03,04,05,06,07,08,09,10,11,12"
overall,ดัชนีรวม,2559,2016,2559,2559,102.6825,2.69,2.69,True,False,12,"01,02,03,04,05,06,07,08,09,10,11,12"
overall,ดัชนีรวม,2560,2017,2560,2560,103.3742,0.67,0.67,True,False,12,"01,02,03,04,05,06,07,08,09,10,11,12"
overall,ดัชนีรวม,2561,2018,2561,2561,102.8775,-0.48,-0.48,True,False,12,"01,02,03,04,05,06,07,08,09,10,11,12"
overall,ดัชนีรวม,2562,2019,2562,2562,98.8692,-3.9,-3.9,True,False,12,"01,02,03,04,05,06,07,08,09,10,11,12"
overall,ดัชนีรวม,2563,2020,2563,2563,96.5642,-2.33,-2.33,True,False,12,"01,02,03,04,05,06,07,08,09,10,11,12"
overall,ดัชนีรวม,2564,2021,2564,2564,101.1275,4.73,4.73,True,False,12,"01,02,03,04,05,06,07,08,09,10,11,12"
overall,ดัชนีรวม,2565,2022,2565,2565,102.4975,1.35,1.35,True,False,12,"01,02,03,04,05,06,07,08,09,10,11,12"
overall,ดัชนีรวม,2566,2023,2566,2566,81.7842,-20.21,-20.21,True,False,12,"01,02,03,04,05,06,07,08,09,10,11,12"
overall,ดัชนีรวม,2567,2024,2567,2567,69.3817,-15.16,-15.16,True,False,12,"01,02,03,04,05,06,07,08,09,10,11,12"
overall,ดัชนีรวม,2568,2025,2568,2568,72.8742,5.03,5.03,True,False,12,"01,02,03,04,05,06,07,08,09,10,11,12"
overall,ดัชนีรวม,2569,2026,2569,2569,76.894,5.52,5.52,False,True,5,"01,02,03,04,05"
passenger,รถยนต์นั่งมือสอง,2554,2011,2554,2554,132.2925,,,True,False,12,"01,02,03,04,05,06,07,08,09,10,11,12"
passenger,รถยนต์นั่งมือสอง,2555,2012,2555,2555,129.465,-2.14,-2.14,True,False,12,"01,02,03,04,05,06,07,08,09,10,11,12"
passenger,รถยนต์นั่งมือสอง,2556,2013,2556,2556,109.2917,-15.58,-15.58,True,False,12,"01,02,03,04,05,06,07,08,09,10,11,12"
passenger,รถยนต์นั่งมือสอง,2557,2014,2557,2557,93.9558,-14.03,-14.03,True,False,12,"01,02,03,04,05,06,07,08,09,10,11,12"
passenger,รถยนต์นั่งมือสอง,2558,2015,2558,2558,99.995,6.43,6.43,True,False,12,"01,02,03,04,05,06,07,08,09,10,11,12"
passenger,รถยนต์นั่งมือสอง,2559,2016,2559,2559,101.1942,1.2,1.2,True,False,12,"01,02,03,04,05,06,07,08,09,10,11,12"
passenger,รถยนต์นั่งมือสอง,2560,2017,2560,2560,104.0125,2.79,2.79,True,False,12,"01,02,03,04,05,06,07,08,09,10,11,12"
passenger,รถยนต์นั่งมือสอง,2561,2018,2561,2561,105.2533,1.19,1.19,True,False,12,"01,02,03,04,05,06,07,08,09,10,11,12"
passenger,รถยนต์นั่งมือสอง,2562,2019,2562,2562,99.9392,-5.05,-5.05,True,False,12,"01,02,03,04,05,06,07,08,09,10,11,12"
passenger,รถยนต์นั่งมือสอง,2563,2020,2563,2563,97.3275,-2.61,-2.61,True,False,12,"01,02,03,04,05,06,07,08,09,10,11,12"
passenger,รถยนต์นั่งมือสอง,2564,2021,2564,2564,102.1408,4.95,4.95,True,False,12,"01,02,03,04,05,06,07,08,09,10,11,12"
passenger,รถยนต์นั่งมือสอง,2565,2022,2565,2565,108.2092,5.94,5.94,True,False,12,"01,02,03,04,05,06,07,08,09,10,11,12"
passenger,รถยนต์นั่งมือสอง,2566,2023,2566,2566,94.705,-12.48,-12.48,True,False,12,"01,02,03,04,05,06,07,08,09,10,11,12"
passenger,รถยนต์นั่งมือสอง,2567,2024,2567,2567,83.7308,-11.59,-11.59,True,False,12,"01,02,03,04,05,06,07,08,09,10,11,12"
passenger,รถยนต์นั่งมือสอง,2568,2025,2568,2568,90.8658,8.52,8.52,True,False,12,"01,02,03,04,05,06,07,08,09,10,11,12"
passenger,รถยนต์นั่งมือสอง,2569,2026,2569,2569,94.012,3.46,3.46,False,True,5,"01,02,03,04,05"
truck,รถยนต์บรรทุกมือสอง,2554,2011,2554,2554,113.1642,,,True,False,12,"01,02,03,04,05,06,07,08,09,10,11,12"
truck,รถยนต์บรรทุกมือสอง,2555,2012,2555,2555,122.7225,8.45,8.45,True,False,12,"01,02,03,04,05,06,07,08,09,10,11,12"
truck,รถยนต์บรรทุกมือสอง,2556,2013,2556,2556,110.2508,-10.16,-10.16,True,False,12,"01,02,03,04,05,06,07,08,09,10,11,12"
truck,รถยนต์บรรทุกมือสอง,2557,2014,2557,2557,97.33,-11.72,-11.72,True,False,12,"01,02,03,04,05,06,07,08,09,10,11,12"
truck,รถยนต์บรรทุกมือสอง,2558,2015,2558,2558,99.9942,2.74,2.74,True,False,12,"01,02,03,04,05,06,07,08,09,10,11,12"
truck,รถยนต์บรรทุกมือสอง,2559,2016,2559,2559,103.605,3.61,3.61,True,False,12,"01,02,03,04,05,06,07,08,09,10,11,12"
truck,รถยนต์บรรทุกมือสอง,2560,2017,2560,2560,102.8767,-0.7,-0.7,True,False,12,"01,02,03,04,05,06,07,08,09,10,11,12"
truck,รถยนต์บรรทุกมือสอง,2561,2018,2561,2561,101.2617,-1.57,-1.57,True,False,12,"01,02,03,04,05,06,07,08,09,10,11,12"
truck,รถยนต์บรรทุกมือสอง,2562,2019,2562,2562,98.0275,-3.19,-3.19,True,False,12,"01,02,03,04,05,06,07,08,09,10,11,12"
truck,รถยนต์บรรทุกมือสอง,2563,2020,2563,2563,95.9542,-2.12,-2.12,True,False,12,"01,02,03,04,05,06,07,08,09,10,11,12"
truck,รถยนต์บรรทุกมือสอง,2564,2021,2564,2564,100.3867,4.62,4.62,True,False,12,"01,02,03,04,05,06,07,08,09,10,11,12"
